id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9697969,East Village 3 Bedroom Apt,50080673,Eric,Manhattan,East Village,40.73033,-73.98788,Private room,101,30,0,,,1,0
9707469,"Brooklyn Heights ""Tree House""",7185488,Jeff,Brooklyn,Brooklyn Heights,40.69597,-73.99527,Entire home/apt,150,30,0,,,1,0
9709801,Large room,50131208,Rob,Queens,Astoria,40.76994,-73.91841,Private room,40,30,0,,,1,0
9710538,Beautiful apartment with a loft.,50132533,Kristy,Bronx,Riverdale,40.88422,-73.90886,Entire home/apt,85,30,0,,,1,0
9711921,The Archive West Village,30707611,Beth,Manhattan,West Village,40.7311,-74.00898,Entire home/apt,450,30,0,,,1,0
9713589,Brooklyn Townhouse,50142159,Cathie,Brooklyn,Gowanus,40.68323,-73.98592,Entire home/apt,425,30,0,,,1,88
9714880,Brooklyn Artist Loft-Style,50152355,Kevin,Brooklyn,Bushwick,40.69859,-73.92294,Entire home/apt,60,30,0,,,1,0
9715404,1 Bedroom in the Upper East Side,6105861,Shayan,Manhattan,Upper East Side,40.76671,-73.95663,Private room,100,30,0,,,1,0
9715891,"Rooftop, Doorman, Luxury Building",6365575,Samir,Queens,Long Island City,40.74908,-73.9427,Entire home/apt,200,30,0,,,1,0
9717662,"Serene, Spacious Bedroom in 2BR Apt",4549440,HanJie,Manhattan,Harlem,40.82347,-73.93944,Private room,37,30,0,,,1,0
9717766,Cozy studio,50165358,Ekaterina,Manhattan,Murray Hill,40.74987,-73.97293,Entire home/apt,200,30,0,,,1,0
9724452,Small cozy studio WashingtonHeights,45198805,Erika,Manhattan,Washington Heights,40.83458,-73.93917,Entire home/apt,70,30,0,,,1,0
9731039,Studio/Office in heart of Sunnyside,50213378,Mark,Queens,Sunnyside,40.74343,-73.91865,Entire home/apt,99,30,0,,,1,0
9736071,COOL STUDIO IN THE HEART OF MIDTOWN,17870643,Matt,Manhattan,Midtown,40.75905,-73.96448,Entire home/apt,195,30,0,,,1,0
9736600,Furnished Apartment in Morningside,50235395,Nick,Manhattan,Morningside Heights,40.80419,-73.96248,Private room,75,30,0,,,1,0
