id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,NA
9806373,"Bright Newly Renovated Spacious Brooklyn Gem, 3 BR",50523735,Grace,Brooklyn,Prospect-Lefferts Gardens,40.65739,-73.94621,Entire home/apt,140,30,147,2.16,2,358,
9806606,ðŸŒµ Sunset suite ðŸŒ¾ shared green yogi palace apt ðŸŒ¿,4765305,Haffro,Manhattan,East Village,40.72202,-73.98256,Private room,174,2,26,0.38,8,322,
9806634,ðŸŒž Sweet & sunny bedroom ðŸ˜Ž in awesome NYC aptðŸ•,4765305,Haffro,Manhattan,East Village,40.72351,-73.98461,Private room,110,1,75,1.44,8,69,
9807059,A room of one's own near Columbia U,50526314,Kay,Manhattan,Morningside Heights,40.81047,-73.95735,Private room,66,30,0,0.7487066474,1,0,
9808151,"Lovely XL Studio,Lux bldg,24hr drmn",30223110,Deniz,Manhattan,Midtown,40.75135,-73.9686,Entire home/apt,112,30,1,0.01,1,0,
9809458,Deluxe Large 1-Bedroom Apt in WILLIAMSBURG NYC,3829864,Jeff,Brooklyn,Williamsburg,40.71742,-73.9547,Entire home/apt,165,30,6,0.13,1,0,
9809911,Classic Brooklyn Charm,50537550,Howard,Brooklyn,Bedford-Stuyvesant,40.68387,-73.91782,Entire home/apt,185,30,34,0.5,1,365,
9810271,Private room in 4 BR on Riverside,50539477,Brian,Manhattan,Harlem,40.8232,-73.95426,Private room,47,30,108,1.73,3,218,
9811274,Large Room for 2! Hipstest hood for summer!,16003028,AnalÃ¡,Brooklyn,Greenpoint,40.72904,-73.95304,Private room,80,30,2,0.03,1,0,
9819018,A cozy room in Lower East Manhattan,49861582,Shunchen,Manhattan,Lower East Side,40.71219,-73.98828,Private room,45,30,2,0.03,1,0,
9819545,Huge Space in E. Williamsburg Apt.,22159648,Sinat,Brooklyn,Williamsburg,40.70676,-73.94395,Private room,85,30,3,0.08,1,49,
9819589,Designer's Studio with Cats +Yard,2290932,Jack,Brooklyn,Fort Greene,40.68712,-73.9732,Entire home/apt,80,30,4,0.09,1,0,
9820053,SoHo Studio,22440410,David,Manhattan,SoHo,40.72688,-74.00058,Entire home/apt,195,30,1,0.01,1,0,
9821183,Cozy bedroom in Bushwick!,49897449,Daniela,Brooklyn,Bushwick,40.69326,-73.92608,Private room,50,30,0,0.7487066474,1,0,
9821359,"Adorable, quiet Astoria apartment",50588693,Robb,Queens,Astoria,40.76125,-73.91008,Private room,30,30,0,0.7487066474,1,0,
9821370,"Elegant, sunny and spacious room in Harlem",50588394,AlizÃ©,Manhattan,Harlem,40.82281,-73.94082,Private room,85,30,33,0.49,2,365,
9821408,Cozy East Village apartment w Steinway piano,1010435,Carol,Manhattan,East Village,40.72969,-73.98691,Entire home/apt,125,30,4,0.08,1,19,
9822110,Bushwick Room in 3Bedroom Apt,23914377,Bobby,Brooklyn,Williamsburg,40.70227,-73.93887,Private room,50,30,0,0.7487066474,1,0,
9822738,Beautiful Upper East Side Apt!,50593964,Laura,Manhattan,Upper East Side,40.77542,-73.95469,Entire home/apt,199,30,1,0.01,1,0,
9822983,31 Dec - 1 Jan lovely Prospect room,4119786,Shimrit,Brooklyn,Prospect Heights,40.6733,-73.9647,Private room,40,30,1,0.01,1,0,
9823085,Private room in bright apartment!,46256682,Jose,Brooklyn,Bedford-Stuyvesant,40.68988,-73.95145,Private room,54,30,14,0.53,1,0,
9823636,Cozy Room in Hell's Kitchen,25153542,Andrea,Manhattan,Hell's Kitchen,40.76009,-73.99189,Private room,85,30,1,0.01,1,0,
9824042,21st Floor Bedroom in Doorman & Elevator Building,24175837,Greg,Manhattan,Kips Bay,40.74423,-73.97742,Private room,69,30,107,1.67,2,0,
9824463,BK's Finest Courtyard Rm close to transportation,50600973,Joyell,Brooklyn,Bushwick,40.69481,-73.92917,Private room,100,2,329,4.89,5,48,
